v.high,v.high,2,2,small,low,unacc
v.high,v.high,2,2,small,medium,unacc
v.high,v.high,2,2,small,high,unacc
v.high,v.high,2,2,medium,low,unacc
v.high,v.high,2,2,medium,medium,unacc
v.high,v.high,2,2,medium,high,unacc
v.high,v.high,2,2,big,low,unacc
v.high,v.high,2,2,big,medium,unacc
v.high,v.high,2,2,big,high,unacc
v.high,v.high,2,4,small,low,unacc
v.high,v.high,2,4,small,medium,unacc
v.high,v.high,2,4,small,high,unacc
v.high,v.high,2,4,medium,low,unacc
v.high,v.high,2,4,medium,medium,unacc
v.high,v.high,2,4,medium,high,unacc
v.high,v.high,2,4,big,low,unacc
v.high,v.high,2,4,big,medium,unacc
v.high,v.high,2,4,big,high,unacc
v.high,v.high,2,more,small,low,unacc
v.high,v.high,2,more,small,medium,unacc
v.high,v.high,2,more,small,high,unacc
v.high,v.high,2,more,medium,low,unacc
v.high,v.high,2,more,medium,medium,unacc
v.high,v.high,2,more,medium,high,unacc
v.high,v.high,2,more,big,low,unacc
v.high,v.high,2,more,big,medium,unacc
v.high,v.high,2,more,big,high,unacc
v.high,v.high,3,2,small,low,unacc
v.high,v.high,3,2,small,medium,unacc
v.high,v.high,3,2,small,high,unacc
v.high,v.high,3,2,medium,low,unacc
v.high,v.high,3,2,medium,medium,unacc
v.high,v.high,3,2,medium,high,unacc
v.high,v.high,3,2,big,low,unacc
v.high,v.high,3,2,big,medium,unacc
v.high,v.high,3,2,big,high,unacc
v.high,v.high,3,4,small,low,unacc
v.high,v.high,3,4,small,medium,unacc
v.high,v.high,3,4,small,high,unacc
v.high,v.high,3,4,medium,low,unacc
v.high,v.high,3,4,medium,medium,unacc
v.high,v.high,3,4,medium,high,unacc
v.high,v.high,3,4,big,low,unacc
v.high,v.high,3,4,big,medium,unacc
v.high,v.high,3,4,big,high,unacc
v.high,v.high,3,more,small,low,unacc
v.high,v.high,3,more,small,medium,unacc
v.high,v.high,3,more,small,high,unacc
v.high,v.high,3,more,medium,low,unacc
v.high,v.high,3,more,medium,medium,unacc
v.high,v.high,3,more,medium,high,unacc
v.high,v.high,3,more,big,low,unacc
v.high,v.high,3,more,big,medium,unacc
v.high,v.high,3,more,big,high,unacc
v.high,v.high,4,2,small,low,unacc
v.high,v.high,4,2,small,medium,unacc
v.high,v.high,4,2,small,high,unacc
v.high,v.high,4,2,medium,low,unacc
v.high,v.high,4,2,medium,medium,unacc
v.high,v.high,4,2,medium,high,unacc
v.high,v.high,4,2,big,low,unacc
v.high,v.high,4,2,big,medium,unacc
v.high,v.high,4,2,big,high,unacc
v.high,v.high,4,4,small,low,unacc
v.high,v.high,4,4,small,medium,unacc
v.high,v.high,4,4,small,high,unacc
v.high,v.high,4,4,medium,low,unacc
v.high,v.high,4,4,medium,medium,unacc
v.high,v.high,4,4,medium,high,unacc
v.high,v.high,4,4,big,low,unacc
v.high,v.high,4,4,big,medium,unacc
v.high,v.high,4,4,big,high,unacc
v.high,v.high,4,more,small,low,unacc
v.high,v.high,4,more,small,medium,unacc
v.high,v.high,4,more,small,high,unacc
v.high,v.high,4,more,medium,low,unacc
v.high,v.high,4,more,medium,medium,unacc
v.high,v.high,4,more,medium,high,unacc
v.high,v.high,4,more,big,low,unacc
v.high,v.high,4,more,big,medium,unacc
v.high,v.high,4,more,big,high,unacc
v.high,v.high,5more,2,small,low,unacc
v.high,v.high,5more,2,small,medium,unacc
v.high,v.high,5more,2,small,high,unacc
v.high,v.high,5more,2,medium,low,unacc
v.high,v.high,5more,2,medium,medium,unacc
v.high,v.high,5more,2,medium,high,unacc
v.high,v.high,5more,2,big,low,unacc
v.high,v.high,5more,2,big,medium,unacc
v.high,v.high,5more,2,big,high,unacc
v.high,v.high,5more,4,small,low,unacc
v.high,v.high,5more,4,small,medium,unacc
v.high,v.high,5more,4,small,high,unacc
